Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統調整,,,亮廷,2024/07/04,未开始,,,,,24111高球協進會,Not started,,,,,,投票系統調整專案名稱為24111高球協進會，由亮廷負責。專案尚未開始，描述內容為空。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲第一序位廠商議價,科技大樓803 PM0200,,Echo,2024/07/11,未开始,,,,,,Not started,,,,,,沒有內容,,,,,,
,JustAI 畫面調整,,,Miles,2024/07/03,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
,GPT-SoVits 語音合成,,,Miles,2024/07/03,未开始,,,,,24309喬_其他,Not started,,,,,,No content,,,,,,
,爬蟲2+問卷,,,VC,2024/07/04,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的爬蟲2+問卷專案尚未開始，沒有提供任何描述。",,,,,,
,跳蛙app付款流程處理,,,"VC, 亮廷",2024/07/04,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
,研究python jinja2網頁,,,姿樺,2024/07/04,未开始,,,,,24309喬_其他,In progress,,,,,,沒有內容,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統調整,,,亮廷,2024/07/05,未开始,,,,,24111高球協進會,Not started,,,,,,没有内容,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),小辜會議,AM09:45,,"Sam, Sunny",2024/07/11,未开始,,,,,,Not started,,,,,,小辜會議尚未開始，參與者包括Max、Sam和Sunny。工作說明將在上午09:45進行。,,,,,,
,研究python jinja2網頁,,,姿樺,2024/07/05,未开始,,,,,24309喬_其他,In progress,,,,,,沒有內容,,,,,,
,今晧,想確認時程安排,,Ing,2024/07/04,未开始,,,,,24130 今皓AI,Not started,,,,,,專案名稱為24130 今晧AI，工作說明是確認時程安排，狀態為未開始。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票簡報,,,"Echo, 亮廷",2024/07/05,未开始,,,,,24111高球協進會,Done,,,,,,No content,,,,,,
,翻譯系統建置,,,Miles,2024/07/04,未开始,,,,,24309喬_其他,Not started,,,,,,尚未開始的翻譯系統建置專案，夥伴是Miles。專案名稱為24309喬_其他。,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),整理各分局程式預設值及開機測試,,,Jason,2024/07/04,未开始,,,,,24118 智能櫃,Done,,,,,,No content,,,,,,
,歐立利、好心肝客服機器人建置,,,Miles,2024/07/05,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，目前尚未開始建置歐立利的好心肝客服機器人。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票影片腳本,,,"Echo, 小溫",2024/07/05,未开始,,,,,,Done,,,,,,没有内容,,,,,,
,輿情分析系統????,地方創生AI,,"Echo, Sam, Sunny",2024/07/08,未开始,,,,,,Not started,,,,,,没有内容,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),AI訓練的後台+和前台虛擬/實體機器人介面和硬體會議,PM0300,,"Echo, Jason, Miles, Sunny",2024/07/05,未开始,,,,,,Not started,,,,,,尚未开始的AI训练后台和前台虚拟/实体机器人界面和硬件会议。夥伴包括Echo、Jason、Miles和Sunny。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),前台1-3讓user選版型+後台架構規劃,,,Echo,2024/07/08,未开始,,,,,,Not started,,,,,,没有内容,,,,,,
,資策會機器人建置,,,Miles,2024/07/08,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，狀態為未開始，夥伴為Miles。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票流程figma,,,亮廷,2024/07/08,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
,翻譯系統建置,,,Miles,2024/07/07,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，翻譯系統建置尚未開始。,,,,,,
,c,,,VC,2024/07/08,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
,撰寫爬蟲程式,,,姿樺,2024/07/08,未开始,,,,,24105爬蟲2,Not started,,,,,,撰寫爬蟲程式的專案名稱為24105爬蟲2，與夥伴姿樺合作。目前尚未開始，詳細描述尚未提供。,,,,,,
,1999系統功能擴充(已報價),,,"Sam, VC",2024/07/08,未开始,,,,,24201派工1999維護,In progress,,,,,,專案名稱為24201派工1999維護的1999系統功能擴充正在進行中，夥伴包括Sam和VC。,,,,,,
,長汎議價,,,"Echo, Sam, Sunny",2024/07/08,未开始,,,,,24104長汎,In progress,,,,,,專案名稱為24104長汎，目前正在進行中，夥伴包括Echo、Sam和Sunny。,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),瓦協公告調整,,,Echo,2024/07/08,未开始,,,,,,Done,,,,,,No content,,,,,,
,智能櫃,,,,2024/07/08,未开始,,,,,24118 智能櫃,Not started,,,,,,專案名稱: 24118 智能櫃,,,,,,
,公司官網,,,Ing,2024/07/05,未开始,,,,,24120 公司官網改版,Not started,,,,,,公司官網改版專案尚未開始，詳細描述尚未提供。,,,,,,
,Task,,,Miles,2024/07/08,未开始,,,,,,Not started,,,,,,Task is not started and assigned to Miles.,,,,,,
,翻譯機器人語言維護頁面,,,Miles,2024/07/08,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,翻譯機器人語言維護頁面，專案名稱為24116公版AI智能客服開發，由Miles擔任夥伴。目前尚未開始，詳細描述未提供。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙app付款流程處理,,,VC,2024/07/09,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2+問卷,,,VC,2024/07/09,未开始,,,,,iii,Not started,,,,,,專案名稱為iii的爬蟲2+問卷尚未開始，沒有描述內容。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),持續調整投票系統 整理當天顯示內容,,,亮廷,2024/07/09,未开始,,,,,24111高球協進會,Not started,,,,,,持續調整投票系統整理當天顯示內容的專案，尚未開始進行。,,,,,,
,處理改善項目有三項再修正,,,Jason,2024/07/09,未开始,,,,,24110號誌EEP,In progress,,,,,,專案名稱為24110號誌EEP，目前正在進行改善項目的再修正。相關資訊可參考提供的連結。,,,,,,
,充電櫃測試,,,"Jason, Sam",2024/07/09,未开始,,,,,24118 智能櫃,Not started,,,,,,專案名稱為24118智能櫃的充電櫃測試尚未開始，夥伴為Jason和Sam。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲服務建議書後續,,,,2024/07/09,未开始,,,,,,Not started,,,,,,爬蟲服務建議書後續尚未開始，夥伴是明婷。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),報獎六,,,Sam,2024/07/09,未开始,,,,,,Not started,,,,,,No content,,,,,,
,撰寫爬蟲程式,,,姿樺,2024/07/09,未开始,,,,,24105爬蟲2,In progress,,,,,,沒有內容,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),爬蟲2+問卷,,,"VC, 姿樺",2024/07/10,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的爬蟲2+問卷尚未開始，詳細描述未提供。",,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙app付款流程處理,,,VC,2024/07/10,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),持續調整投票系統 整理當天顯示內容,,,亮廷,2024/07/10,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康啟動會議,PM0200,,"Echo, Sunny",2024/07/16,未开始,,,,,,Not started,,,,,,紘康啟動會議將於7/16舉行，討論官網2.0改版的啟動和後續進度會議安排。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),長汎合約/需求列表,,,"Echo, Sam",2024/07/10,未开始,,,,,,Not started,,,,,,No content,,,,0,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),撰寫爬蟲程式,,,姿樺,2024/07/10,未开始,,,,,24105爬蟲2,In progress,,,,,,撰寫爬蟲程式的專案正在進行中，與夥伴姿樺合作。專案名稱是24105爬蟲2。,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓一頁式網站進度,提供第一版,,"Echo, Ing",2024/07/16,未开始,,,,,,Not started,,,,,,The current status of the one-page website project is not started. The partners involved are Echo and Ing. The task is to provide the first version. No further description is provided.,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康figma進度,,,"Echo, Ing",2024/07/12,未开始,,,,,,Not started,,,,,,紘康的figma进度尚未开始，与夥伴Echo和Ing合作。日期为2024年7月12日。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),長汎客服機器人UI,,,"Echo, Ing",2024/07/15,未开始,,,,,,Not started,,,,,,No content,,,,0,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓第三項需求確認,,,"Echo, Sunny",2024/07/12,未开始,,,,,,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票優化/bug調整,,,"Echo, VC, 亮廷",2024/07/11,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱為24111高球協進會的電子投票優化/bug調整尚未開始。夥伴包括Echo、VC和亮廷。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),"喬思齊停止需求開發,待業者確認後,重估工時",PM0500 with葦捷視訊會議,,Echo,2024/07/10,未开始,,,,,,Not started,,,,,,喬思齊停止需求開發，待業者確認後，重估工時。工作說明是PM0500與葦捷視訊會議。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康規格書製作,,,Echo,2024/07/12,未开始,,,,,,Not started,,,,,,No content,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),複製excel資料，可以貼上網頁的javascript的套件,,,,2024/07/12,未开始,,,,,,In progress,,,,,,這份文件描述了一個正在進行中的項目，目的是複製Excel資料並將其貼上網頁的JavaScript套件。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),到協進會預演,PM0200,,"Echo, 亮廷",2024/07/15,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱為24111高球協進會，工作說明為PM0200，預演尚未開始。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙app付款流程處理,,,VC,2024/07/11,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2+問卷,,,"VC, 姿樺",2024/07/11,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的爬蟲2+問卷尚未開始，夥伴為VC和姿樺。",,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),APP Figma,,,亮廷,2024/07/11,未开始,,,,,24130 今皓AI,Not started,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),撰寫爬蟲程式,,,姿樺,2024/07/11,未开始,,,,,24105爬蟲2,In progress,,,,,,"撰寫爬蟲程式專案名稱為""24105爬蟲2""，與夥伴姿樺合作中。",,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),"1.Just AI 客服窗口
2.操作手冊
3.假日系統異常通報流程",需求,,"Echo, Sunny",2024/07/12,未开始,,,,,,Not started,,,,,,No content,,,,,,
好心肝 (https://www.notion.so/9edd5aca9d7f42c7873e67f6bcd4af6a?pvs=21),好心肝影片,基金會需要提供素材嗎？,,"Echo, 小溫",2024/07/26,未开始,,,,,,Done,,,,,,工作尚未開始，需要確認基金會是否需要提供素材。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),頁籤文字請帶後台設定的,請開open,,"Echo, Miles",2024/07/12,未开始,,,,,,Not started,,,,,,頁籤文字請帶後台設定的，工作尚未開始，夥伴是Echo和Miles。工作說明是請開open。日期是2024/07/12。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),長汎合約,,,Sam,2024/07/11,未开始,,,,,24104長汎,Not started,,,,,,No content,,,,0,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),撰寫爬蟲程式,,,姿樺,2024/07/12,未开始,,,,,24105爬蟲2,In progress,,,,,,"撰寫爬蟲程式專案名稱為""24105爬蟲2""，與夥伴姿樺合作中。",,,,,,
好心肝 (https://www.notion.so/9edd5aca9d7f42c7873e67f6bcd4af6a?pvs=21),今皓數字人報價單回覆,,,Echo,2024/07/12,未开始,,,,,,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),多麥克風輸入測試,,,Miles,2024/07/11,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,多麥克風輸入測試專案尚未開始，專案名稱為24116公版AI智能客服開發。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Microsoft Graph Rag 研究,,,Miles,2024/07/11,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康內頁版型,,,Ing,2024/07/11,未开始,,,,,24128 紘康官網,Not started,,,,,,No content,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),報價單0712版,,,Echo,2024/07/12,未开始,,,,,,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票三輪測試回報,,,Echo,2024/07/14,未开始,,,,,,Not started,,,,,,電子投票三輪測試回報中提到了領票時間狀態文字未修正並需要新增一欄投票狀態的問題，以及集體報到後選3.7顯示QRCODE領票的頁面為報到的問題，還有用3.7過卡報到無顯示的問題。,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),島嶼生吐司報價單追蹤,,,Echo,2024/07/15,未开始,,,,,,Not started,,,2024年7月15日,,,島嶼生吐司報價單追蹤尚未開始，截止日期為2024年7月15日，夥伴為Echo。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康官網,,,Ing,2024/07/12,未开始,,,,,,Not started,,,,,,"This document provides links to the Hycon official website, product page, and application page.",,,,,,
,充電櫃送貨,,,Sam,2024/07/18,未开始,,,,,,Not started,,,,,,充电柜送货任务尚未开始，合作伙伴是Sam。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),協進會,,,Sam,2024/07/15,未开始,,,,,,Not started,,,,,,"The project ""協進會"" has not been started yet. The partner is Sam.",,,,,,
,明婷電腦交接,,,Sam,2024/07/15,未开始,,,,,,Not started,,,,,,明婷電腦交接尚未開始，夥伴為Sam和明婷。,,,,,,
,AI 表頭修改，依照設定,,,Miles,2024/07/12,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
好心肝 (https://www.notion.so/9edd5aca9d7f42c7873e67f6bcd4af6a?pvs=21),宋教授聲音訓練,,,Miles,2024/07/12,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,没有内容,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI操作手冊優化,,,Echo,2024/07/15,未开始,,,,,,Not started,,,,,,No content,,,,,,
,爬蟲2+問卷,,,"VC, 姿樺",2024/07/15,未开始,,,,,iii,Not started,,,,,,爬蟲2+問卷專案尚未開始，夥伴為VC和姿樺。,,,,,,
,撰寫爬蟲程式,,,姿樺,2024/07/15,未开始,,,,,24105爬蟲2,In progress,,,,,,沒有內容,,,,,,
三信報驗行 (https://www.notion.so/5f642e5b06844fcfab7efeeec1511629?pvs=21),三信會議,基隆PM0200,,"Echo, Sunny",2024/07/18,未开始,,,,,,Not started,,,,,,"The document is about the ""三信會議"" (Three Trust Conference) with partners Echo, Max, Sunny, and Sunway. The work description is ""基隆PM0200"" and the status is ""Not started"".",,,,,,
,資策會GenAI數位轉型論壇,0900-1200,,"Sam, Sunny",2024/07/26 9:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,資策會GenAI數位轉型論壇尚未開始，工作時間為0900-1200，夥伴包括Sam和Sunny。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2+問卷,,,"Miles, VC, 姿樺",2024/07/16,未开始,,,,,,Not started,,,,,,"This document is about a project called ""爬蟲2+問卷"" involving partners Miles, VC, and 姿樺. The project status is ""Not started"" and there is no further description provided.",,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),金皓一頁式網頁,,,Ing,2024/07/15,未开始,,,,,,Not started,,,,,,No content,,,,,,
國防醫學院 (https://www.notion.so/5e9c9149b8fd4053b8b9a53a10d7a5b8?pvs=21),畢流問卷改版,,,,2024/07/15,未开始,,,,,,Done,,,,,,No content,,,,,,
,資策會問卷API,,,Miles,2024/07/15,未开始,,,,,iii,Not started,,,,,,資策會問卷API專案尚未開始，由Miles負責。專案名稱為iii。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),撰寫爬蟲程式,剩iThome,,姿樺,2024/07/16,未开始,,,,,,In progress,,,,,,撰寫爬蟲程式的工作正在進行中，與夥伴姿樺合作。工作說明是剩下iThome的部分。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21)," 紘康會議",,,"Sam, Sunny",2024/07/16,未开始,,,,,,Not started,,,,,,No content,,,,,,
,AI發票、票證分析,11:00,,"Miles, Sam, Sunny",2024/07/16,未开始,,,,,,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票bug調整,,,亮廷,2024/07/16,未开始,,,,,,Not started,,,,,,調整がまだ開始されていない電子投票のバグ修正についての説明がありません。,,,,,,
